Cutoff	FPR	TPR
1.0	0	0.02941176
1.0	0	0.05882353
1.0	0	0.08823529
1.0	0	0.11764706
1.0	0	0.14705882
1.0	0	0.17647059
1.0	0	0.20588235
1.0	0	0.23529412
1.0	0	0.26470588
1.0	0	0.29411765
1.0	0	0.32352941
0.99	0	0.35294118
0.99	0	0.38235294
0.99	0	0.41176471
0.98	0	0.44117647
0.98	0	0.47058824
0.98	0	0.5
0.97	0	0.52941176
0.95	0	0.55882353
0.95	0	0.58823529
0.93	0	0.61764706
0.92	0	0.64705882
0.92	0	0.67647059
0.92	0	0.70588235
0.89	0	0.73529412
0.86	0	0.76470588
0.86	0.02941176	0.76470588
0.79	0.02941176	0.79411765
0.79	0.02941176	0.82352941
0.77	0.02941176	0.85294118
0.7	0.05882353	0.85294118
0.7	0.08823529	0.85294118
0.62	0.08823529	0.88235294
0.62	0.08823529	0.91176471
0.59	0.08823529	0.94117647
0.58	0.08823529	0.97058824
0.51	0.08823529	1.0
0.36	0.11764706	1.0
0.22	0.14705882	1.0
0.18	0.17647059	1.0
0.18	0.20588235	1.0
0.11	0.23529412	1.0
0.11	0.26470588	1.0
0.08	0.29411765	1.0
0.07	0.32352941	1.0
0.07	0.35294118	1.0
0.07	0.38235294	1.0
0.06	0.41176471	1.0
0.06	0.44117647	1.0
0.05	0.47058824	1.0
0.03	0.5	1.0
0.02	0.52941176	1.0
0.02	0.55882353	1.0
0.02	0.58823529	1.0
0.01	0.61764706	1.0
0.0	0.64705882	1.0
0.0	0.67647059	1.0
0.0	0.70588235	1.0
0.0	0.73529412	1.0
0.0	0.76470588	1.0
0.0	0.79411765	1.0
0.0	0.82352941	1.0
0.0	0.85294118	1.0
0.0	0.88235294	1.0
0.0	0.91176471	1.0
0.0	0.94117647	1.0
0.0	0.97058824	1.0
0.0	1.0	1.0
